Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764873500359,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,5.555555820465088,2.941176414489746,8.571429252624512,2.941176414489746,5.882352828979492,2.857142925262451,8.333333969116211,2.857142925262451,5.714285850524902,5.714285850524902,5.555555820465088,0,5.714285850524902,2.857142925262451,17.142858505249023,8.823529243469238,8.823529243469238,2.857142925262451,3.0303030014038086,5.882352828979492,0,25911.394897460938,22028.65869140625,0,33410265088,0,2103681024,0
199,1764873500360,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,5.555555820465088,2.941176414489746,8.571429252624512,2.941176414489746,5.882352828979492,2.857142925262451,8.333333969116211,2.857142925262451,5.714285850524902,5.714285850524902,5.555555820465088,0,5.714285850524902,2.857142925262451,17.142858505249023,8.823529243469238,8.823529243469238,2.857142925262451,3.0303030014038086,5.882352828979492,0,25911.3994140625,22028.66180419922,0,33410265088,0,2103681024,0
199,1764873500560,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,55,10,31.57894515991211,31.81818199157715,42.85714340209961,28.571430206298828,15.789472579956055,28.571430206298828,15.789472579956055,40,30.000001907348633,33.333335876464844,35,23.809524536132813,40,35,20,35,40,23.809524536132813,0,25928.983337402344,22045.9443359375,0,33410265088,0,2283622400,0
199,1764873500760,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,36.842105865478516,16.666667938232422,70,10.526315689086914,50,15.000000953674316,45,20,25,30.000001907348633,30.000001907348633,35,42.105262756347656,21.052631378173828,20,94.73684692382813,28.571430206298828,60.000003814697266,9.523809432983398,100,0,25950.99639892578,22067.645751953125,0,33410265088,0,2374979584,0
200,1764873500960,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,35,40,60.000003814697266,15.000000953674316,65,25,42.105262756347656,20,30.000001907348633,38.095237731933594,25,38.095237731933594,45.45454788208008,30.000001907348633,28.571430206298828,95.45454406738281,40,55,31.57894515991211,73.68421173095703,0,25974.21795654297,22090.552001953125,0,33410265088,0,2461614080,0
199,1764873501160,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,70,45,78.94737243652344,55.55555725097656,52.6315803527832,75,80,42.85714340209961,65,77.77777862548828,70,73.68421173095703,68.42105102539063,57.894737243652344,72.22222137451172,38.88888931274414,60.000003814697266,66.66667175292969,61.904762268066406,60.000003814697266,0,26002.6943359375,22118.65740966797,0,33410265088,0,2740912128,0
199,1764873501360,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,10.526315689086914,78.94737243652344,19.047618865966797,52.38095474243164,10.526315689086914,30.000001907348633,50,36.842105865478516,30.000001907348633,54.54545593261719,36.842105865478516,40,28.571430206298828,45,20,75,26.3157901763916,36.842105865478516,30.000001907348633,35,0,26024.13446044922,22139.753295898438,0,33410265088,0,2750042112,0
199,1764873501560,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,40,0,45,0,47.619049072265625,14.285715103149414,52.6315803527832,0,14.285715103149414,21.052631378173828,15.000000953674316,5,10.526315689086914,5.263157844543457,80.95238494873047,0,10,60.000003814697266,26.3157901763916,5.263157844543457,0,26040.774841308594,22156.089111328125,0,33410265088,0,2790113280,0
199,1764873501760,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,63.15789031982422,0,78.94737243652344,4.761904716491699,68.42105102539063,10.526315689086914,72.7272720336914,0,25,25,15.000000953674316,0,5,63.6363639831543,89.47368621826172,0,36.842105865478516,50,52.6315803527832,14.285715103149414,0,26063.399658203125,22178.375,0,33410265088,0,2866290688,0
199,1764873501960,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,38.095237731933594,28.571430206298828,38.095237731933594,0,14.285715103149414,30.000001907348633,52.6315803527832,0,10.526315689086914,15.000000953674316,10,20,10,21.052631378173828,75,5,38.095237731933594,55,31.57894515991211,0,0,26080.026123046875,22194.68963623047,0,33410265088,0,2935508992,0
199,1764873502160,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,5.263157844543457,19.047618865966797,38.095237731933594,5,5,45,68.42105102539063,0,9.523809432983398,9.523809432983398,9.523809432983398,4.761904716491699,35,10,42.105262756347656,47.619049072265625,10,65,31.81818199157715,10,0,26096.79718017578,22211.134765625,0,33410265088,0,2952204288,0
199,1764873502360,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,5.263157844543457,5,0,5,10,5,20,0,5.263157844543457,5,0,5,5,0,25,10,45,5.263157844543457,26.3157901763916,0,0,26105.850158691406,22219.895751953125,0,33410265088,0,2978033664,0
199,1764873502560,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,10.526315689086914,15.789472579956055,15.000000953674316,0,36.842105865478516,0,9.523809432983398,0,0,5.263157844543457,4.761904716491699,5.263157844543457,0,0,35,30.000001907348633,26.3157901763916,50,5,23.809524536132813,0,26117.422973632813,22231.17431640625,0,33410265088,0,3010752512,0
199,1764873502760,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,47.619049072265625,0,26.3157901763916,0,21.052631378173828,0,47.36842346191406,5,15.000000953674316,9.523809432983398,0,5,21.052631378173828,5,10,90,5.263157844543457,65,21.052631378173828,5.263157844543457,0,26132.791015625,22246.239501953125,0,33410265088,0,3083988992,0
199,1764873502960,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,31.57894515991211,45,0,45,0,61.904762268066406,0,15.789472579956055,5.263157844543457,5,4.761904716491699,50,0,0,100,9.523809432983398,63.15789031982422,35,10,0,26150.437622070313,22263.585205078125,0,33410265088,0,3031330816,0
199,1764873503160,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,14.285715103149414,65,70,4.761904716491699,80,0,31.57894515991211,42.105262756347656,10,15.789472579956055,10,5.263157844543457,35,0,0,95,15.000000953674316,57.142860412597656,36.842105865478516,31.57894515991211,0,26171.91796875,22284.744567871094,0,33410265088,0,3083726848,0
199,1764873503361,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,100,0,60.000003814697266,0,70,0,9.523809432983398,85.71428680419922,10,14.285715103149414,15.789472579956055,5.263157844543457,52.6315803527832,0,0,100,20,71.42857360839844,4.761904716491699,75,0,26194.53533935547,22307.00811767578,0,33410265088,0,3145535488,0
199,1764873503561,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,33.333335876464844,18.18181800842285,55,5.263157844543457,15.000000953674316,0,16.666667938232422,40,27.272727966308594,25,10,9.523809432983398,38.095237731933594,0,10,84.21052551269531,50,0,15.000000953674316,38.095237731933594,0,26210.944458007813,22323.10821533203,0,33410265088,0,3186716672,0
199,1764873503761,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,9.090909004211426,0,10.526315689086914,0,5,0,10,5.263157844543457,10.526315689086914,5,10,5,5.263157844543457,0,15.000000953674316,38.095237731933594,15.789472579956055,15.000000953674316,0,4.761904716491699,0,26217.606567382813,22329.482299804688,0,33410265088,0,3195101184,0
199,1764873503961,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,9.090909004211426,0,10.526315689086914,0,5,0,10,5.263157844543457,10.526315689086914,5,10,5,5.263157844543457,0,15.000000953674316,38.095237731933594,15.789472579956055,15.000000953674316,0,4.761904716491699,0,26218.661560058594,22330.25518798828,0,33410265088,0,3199746048,0
199,1764873504161,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,0,0,0,0,0,2.5,0,0,2.5641026496887207,0,0,0,0,4.878048419952393,0,2.4390242099761963,0,2.5641026496887207,0,0,26219.237182617188,22330.548950195313,0,33410265088,0,3199746048,0
199,1764873504361,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26219.76220703125,22330.792541503906,0,33410265088,0,3199746048,0
199,1764873504561,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,0,0,0,0,0,0,0,5,4.761904716491699,0,14.285715103149414,0,0,13.636363983154297,4.761904716491699,0,0,0,0,0,26220.685607910156,22331.430541992188,0,33410265088,0,3204132864,0
199,1764873504762,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26221.160278320313,22331.623962402344,0,33410265088,0,3204132864,0
200,1764873504962,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26221.77197265625,22331.957153320313,0,33410265088,0,3207999488,0
199,1764873505162,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,0,0,2.4390242099761963,0,0,0,0,2.4390242099761963,2.5,0,0,2.4390242099761963,0,0,0,0,4.878048419952393,0,0,0,26222.649841308594,22332.551635742188,0,33410265088,0,3207036928,0
199,1764873505362,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,0,0,0,0,0,5,0,0,0,5,0,4.761904716491699,0,0,0,0,0,0,0,0,26223.206909179688,22332.827392578125,0,33410265088,0,3207036928,0
199,1764873505562,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,0,4.761904716491699,0,0,0,0,0,0,9.523809432983398,0,0,5.263157844543457,0,0,0,0,0,5,0,0,26224.160400390625,22333.49871826172,0,33410265088,0,3187257344,0
199,1764873505762,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26224.63494873047,22333.691955566406,0,33410265088,0,3187257344,0
199,1764873505963,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,26225.111083984375,22333.887145996094,0,33410265088,0,3187257344,0
199,1764873506163,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,5.263157844543457,0,0,0,0,9.090909004211426,9.523809432983398,4.761904716491699,0,5,0,9.090909004211426,5,4.761904716491699,0,0,9.523809432983398,5,9.523809432983398,0,0,26226.544494628906,22335.03271484375,0,33410265088,0,3184738304,0
199,1764873506363,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,4.761904716491699,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,5,0,5,0,5.263157844543457,0,0,26227.191650390625,22335.401794433594,0,33410265088,0,3184738304,0
199,1764873506563,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,4.761904716491699,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,5,0,5,0,5.263157844543457,0,0,26229.036499023438,22336.964477539063,0,33410265088,0,3186765824,0
199,1764873506763,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,33.333335876464844,22.5,25,20.512821197509766,22.5,20.512821197509766,27.5,25,28.205129623413086,26.829269409179688,22.5,20,30.76923179626465,25,30.76923179626465,20.512821197509766,31.57894515991211,22.5,35.71428680419922,25.641027450561523,0,26248.88507080078,22356.487243652344,0,33410265088,0,3231539200,0
199,1764873506963,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,23.809524536132813,75,10,65,10,55,57.894737243652344,20,28.571430206298828,30.000001907348633,26.3157901763916,25,15.789472579956055,15.789472579956055,35,28.571430206298828,26.3157901763916,50,36.842105865478516,35,0,26268.977172851563,22376.252563476563,0,33410265088,0,3263516672,0
199,1764873507163,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,10.526315689086914,10,20,15.000000953674316,20,5,10.526315689086914,5,23.809524536132813,15.000000953674316,23.809524536132813,25,20,15.789472579956055,21.052631378173828,15.000000953674316,23.809524536132813,15.789472579956055,15.000000953674316,15.000000953674316,0,26275.537048339844,22382.5146484375,0,33410265088,0,3269160960,0
199,1764873507363,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,42.105262756347656,47.36842346191406,52.6315803527832,52.38095474243164,45,47.36842346191406,45,52.6315803527832,55,50,47.36842346191406,52.38095474243164,47.36842346191406,61.904762268066406,47.36842346191406,52.38095474243164,50,42.105262756347656,60.000003814697266,45,0,26284.75030517578,22391.410888671875,0,33410265088,0,3278979072,0
199,1764873507563,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,23.809524536132813,25,40,5.263157844543457,25,15.000000953674316,20,45,15.000000953674316,21.052631378173828,25,20,26.3157901763916,14.285715103149414,40,15.789472579956055,47.36842346191406,15.000000953674316,20,19.047618865966797,0,26297.66375732422,22404.011169433594,0,33410265088,0,3288596480,0
199,1764873507763,809,803,797,800,797,800,838,800,800,800,800,799,819,822,801,834,824,808,780,798,20,15.789472579956055,28.571430206298828,28.571430206298828,25,14.285715103149414,28.571430206298828,36.842105865478516,35,30.000001907348633,33.333335876464844,26.3157901763916,33.333335876464844,21.052631378173828,21.052631378173828,20,20,31.57894515991211,20,26.3157901763916,0,26305.869384765625,22411.90985107422,0,33410265088,0,3292164096,0
